rank_overall,screenshot_n,rank_in_screenshot,player,season_or_series,set_parallel,mint_count,asp_usd,est_usd,confidence,notes
1,1,1,LeBron James,Series 1,Holo MMXX,50,39249,30599,high,
2,1,2,LeBron James,Series 1,Cosmic,49,17561,14250,high,
3,1,3,Steph Curry,2024-25,Supernova,25,13282,,medium,
4,1,4,Luka Doncic,Series 1,Cosmic,49,10630,,medium,
5,1,5,LeBron James,Series 1,Holo MMXX,50,9250,,medium,
6,1,6,LeBron James,Series 5,The Anthology,12,5957,,medium,
7,1,7,Luka Doncic,Series 1,Cosmic,49,4750,,medium,
8,1,8,Steph Curry,Series 1,2020 NBA Finals,179,3500,,low,set name uncertain
9,1,9,Steph Curry,Series 1,Holo MMXX,,3666,,low,
10,1,10,LeBron James,2024-25,Rookie Revelation,,3500,,low,
11,1,11,Victor Wembanyama,2023-24,Cosmic,,2683,,medium,
12,1,12,Nikola Jokic,Series 1,Cosmic,49,2549,,medium,
13,1,13,Steph Curry,Series 1,Cosmic,49,2568,,medium,
14,1,14,Hakeem Olajuwon,2024-25,Supernova,25,2353,,low,
15,1,15,Steph Curry,Series 4,The Anthology,,2255,,low,
16,1,16,Magic Johnson,Series 5,The Anthology,12,2222,,low,
17,1,17,Giannis Antetokounmpo,Series 1,Cosmic,49,2185,,medium,
18,1,18,Victor Wembanyama,2023-24,Honors,,2150,,low,
19,1,19,Giannis Antetokounmpo,Series 1,Supernova,25,2125,,low,
20,1,20,Steph Curry,Series 1,From the Top,,2125,,low,
21,1,21,Kawhi Leonard,Series 1,Rookie Revelation,,1791,,low,
22,1,22,Caitlin Clark,2024-25,WNBA Rookie Revelation,,1750,,low,
23,1,23,Victor Wembanyama,2023-24,Hardware,,2070,,low,
24,1,24,LeBron James,Series 5,The Anthology,12,2070,,low,
25,1,25,Giannis Antetokounmpo,Series 1,Holo MMXX,,2000,,low,
26,1,26,Vince Carter,Series 1,Cosmic,49,1959,,low,
27,1,27,Shai Gilgeous-Alexander,2024-25,Supernova,25,1956,,low,
28,1,28,Kentavious Caldwell-Pope,Series 1,2020 NBA Finals,,1956,,low,
29,1,29,LeBron James,Series 1,Metallic Gold LE,,1950,,low,
30,1,30,Trae Young,Series 1,Heroes of the Game,,1900,,low,
31,1,31,Yao Ming,2024-25,Deck the Hoops,,1899,,low,
32,1,32,LeBron James,Series 1,Deck the Hoops,,1845,,low,
33,1,33,Jayson Tatum,Series 1,Cosmic,49,1750,,low,
34,1,34,Anthony Edwards,Series 1,Holo Icon,,1738,,low,
35,1,35,Ja Morant,2024-25,Supernova,25,1725,,low,
36,1,36,Kevin Garnett,2024-25,Supernova,25,1675,,low,
37,1,37,Allen Iverson,2024-25,Supernova,25,1625,,low,
38,1,38,Kevin Durant,2024-25,Supernova,25,1600,,low,
39,1,39,Steph Curry,Series 2,Deck the Hoops,,1600,,low,
40,1,40,Vince Carter,Series 1,NBA All-Star Class,,1537,,low,
41,1,41,Wilt Chamberlain,2024-25,Heroes of the Game,,1450,,low,
42,1,42,LeBron James,Series 1,From the Top,,1444,,low,
43,1,43,Cooper Flagg,2024-25,Freshman Gems,,1438,,low,
44,1,44,LeBron James,Series 1,From the Top,,1400,,low,
45,1,45,Jayson Tatum,Series 1,Cosmic,49,1397,,low,
46,1,46,James Worthy,Series 5,The Anthology,,1333,,low,
47,1,47,James Harden,Series 1,Cosmic,49,1333,,low,
48,1,48,Dirk Nowitzki,2024-25,Supernova,,1300,,low,
49,1,49,Steph Curry,Series 1,Metallic Gold LE,,1274,,low,
50,1,50,Luka Doncic,2023-24,Holo Icon,,1250,,low,
51,2,1,Cooper Flagg,2025-26 / Series 2,Rookie Debut,50,,,low,ASP/est not clearly readable
52,2,2,Cade Cunningham,2024-25 / Series 4,Holo Icon,25,2190,,medium,
53,2,3,Paige Bueckers,2025-26 / Series 2,WNBA Rookie Revealed,50,,,low,
54,2,4,Cooper Flagg,2025-26 / Series 2,Metallic Gold LE,75,1977,,medium,
55,2,5,David Robinson,2024-25 / Series 4,Supernova,25,1968,,medium,
56,2,6,Zach Edey,2024-25 / Series 4,Deck the Hoops,75,1818,,low,
57,2,7,Kevin Durant,2024-25 / Series 4,Run It Back,1009,1549,,medium,
58,2,8,Magic Johnson,2024-25 / Series 4,The Anthology: Magic Johnson,,1549,,low,
59,2,9,Russell Westbrook,2024-25 / Series 4,Supernova,25,1530,,medium,
60,2,10,Chris Paul,2024-25 / Series 4,The Anthology: Chris Paul,,1339,,low,
61,2,11,Larry Bird,2024-25 / Series 4,Holo MMXX,25,1268,,medium,
62,2,12,Jerry West,2024-25 / Series 4,Heroes of the Game,,1267,,low,
63,2,13,Cooper Flagg,2025-26 / Series 2,Origins,25,1234,,low,
64,2,14,Victor Wembanyama,2024-25 / Series 4,Holo Icon,25,1220,,medium,
65,2,15,Joel Embiid,2024-25 / Series 4,Supernova,25,1093,,medium,
66,2,16,Nikola Jokic,2024-25 / Series 4,2025 NBA Finals,,1093,,low,
67,2,17,Willis Reed,2024-25 / Series 4,Heroes of the Game,,1049,,low,
68,2,18,Steph Curry,2024-25 / Series 3,2025 NBA Finals,,1003,,low,
69,2,19,Tyrese Haliburton,2023-24 / Series 3,Holo Icon,25,999,,medium,
70,2,20,Giannis Antetokounmpo,2024-25 / Series 4,Heroes,,879,,low,
71,2,21,Shai Gilgeous-Alexander,2024-25 / Series 4,2025 NBA Playoffs,,872,,low,
72,2,22,Kyrie Irving,2024-25 / Series 4,Run It Back: Legacy,,858,,low,
