rank,player,asp_usd,asp_display,floor_usd,floor_display,supply,holders,listed,score_100,last_sale
1,LeBron James,18000,$18.0K,20000,$20.0K,31,28,5,63,191d ago
2,LeBron James,16600,$16.6K,25000,$25.0K,49,40,3,100,71d ago
3,LeBron James,15100,$15.1K,22200,$22.2K,22,16,0,62,16d ago
4,LeBron James,12300,$12.3K,0,$0,10,9,0,94,21d ago
5,Steph Curry,10000,$10.0K,0,$0,10,7,0,77,10d ago
6,LeBron James,9500,$9.5K,9500,$9.5K,51,35,6,27,259d ago
7,Steph Curry,7200,$7.2K,10000,$10.0K,50,29,2,35,15d ago
8,Allen Iverson,5000,$5.0K,0,$0,21,21,0,7,339d ago
9,Paige Bueckers,5000,$5.0K,5000,$5.0K,10,10,0,12,—
10,Cooper Flagg,5000,$5.0K,5000,$5.0K,29,22,0,38,19d ago
11,Stephen Curry,4000,$4.0K,5500,$5.5K,10,10,0,10,337d ago
12,Magic Johnson,3900,$3.9K,3900,$3.9K,32,30,0,10,187d ago
13,Kawhi Leonard,3500,$3.5K,20000,$20.0K,50,36,4,5,182d ago
14,Nikola Jokić,3500,$3.5K,0,$0,10,6,0,27,86d ago
15,Hakeem Olajuwon,3500,$3.5K,4000,$4.0K,10,6,0,23,160d ago
16,Luka Dončić,3300,$3.3K,2800,$2.8K,49,36,9,27,5d ago
17,Giannis Antetokounmpo,3200,$3.2K,3200,$3.2K,49,32,5,8,202d ago
18,Luka Dončić,3000,$3.0K,2600,$2.6K,50,35,8,25,2d ago
19,Victor Wembanyama,3000,$3.0K,4200,$4.2K,75,54,0,20,5d ago
20,LeBron James,3000,$3.0K,6500,$6.5K,13,13,0,9,259d ago
21,LeBron James,3000,$3.0K,9700,$9.7K,68,56,3,25,138d ago
22,LeBron James,3000,$3.0K,4000,$4.0K,58,46,8,13,296d ago
23,Giannis Antetokounmpo,2900,$2.9K,12500,$12.5K,10,9,0,22,86d ago
24,Caitlin Clark,2800,$2.8K,3300,$3.3K,49,31,0,18,79d ago
25,Steph Curry,2800,$2.8K,22200,$22.2K,30,16,0,24,154d ago
26,Dylan Harper,2600,$2.6K,2600,$2.6K,5,5,0,8,—
27,Steph Curry,2500,$2.5K,0,$0,58,35,0,20,62d ago
28,Victor Wembanyama,2500,$2.5K,2200,$2.2K,10,10,0,22,169d ago
29,Shai Gilgeous-Alexander,2500,$2.5K,0,$0,8,8,0,20,224d ago
30,Nikola Jokić,2500,$2.5K,2200,$2.2K,49,32,6,22,65d ago
31,Shaquille O'Neal,2400,$2.4K,10000,$10.0K,30,26,0,8,278d ago
32,Kawhi Leonard,2400,$2.4K,7500,$7.5K,41,38,0,18,24d ago
33,Chelsea Gray,2400,$2.4K,5500,$5.5K,26,25,0,2,765d ago
34,Tyrese Haliburton,2400,$2.4K,0,$0,6,6,0,7,307d ago
35,LeBron James,2300,$2.3K,3000,$3.0K,91,73,0,16,26d ago
36,Nikola Jokić,2300,$2.3K,2300,$2.3K,50,30,6,17,15d ago
37,Victor Wembanyama,2300,$2.3K,2500,$2.5K,50,48,0,16,5d ago
38,LeBron James,2200,$2.2K,2200,$2.2K,10,8,0,3,824d ago
39,James Harden,2200,$2.2K,3000,$3.0K,25,22,4,10,70d ago
40,Cooper Flagg,2100,$2.1K,2500,$2.5K,10,10,0,15,6d ago
41,Ja Morant,2100,$2.1K,3000,$3.0K,25,24,5,13,65d ago
42,Luka Dončić,2100,$2.1K,0,$0,10,10,0,1,712d ago
43,Trae Young,2000,$2.0K,2200,$2.2K,25,16,3,15,92d ago
44,Giannis Antetokounmpo,2000,$2.0K,2000,$2.0K,50,32,5,16,70d ago
45,Vince Carter,2000,$2.0K,18000,$18.0K,49,33,6,15,51d ago
46,Shai Gilgeous-Alexander,1900,$1.9K,6500,$6.5K,10,8,0,15,94d ago
47,Steph Curry,1900,$1.9K,2900,$2.9K,59,33,9,8,96d ago
48,Jayson Tatum,1900,$1.9K,2000,$2.0K,49,36,5,13,74d ago
49,Kon Knueppel,1900,$1.9K,1800,$1.8K,29,22,0,15,9d ago
50,Allen Iverson,1900,$1.9K,2500,$2.5K,10,8,0,13,108d ago
51,Joel Embiid,1900,$1.9K,0,$0,5,5,0,1,978d ago
52,LeBron James,1800,$1.8K,2000,$2.0K,33,33,7,13,88d ago
53,Jalen Brunson,1800,$1.8K,0,$0,4,4,0,14,129d ago
54,Wilt Chamberlain,1700,$1.7K,0,$0,10,9,0,13,42d ago
55,Yao Ming,1700,$1.7K,0,$0,10,7,0,13,53d ago
56,Kevin Garnett,1700,$1.7K,0,$0,10,7,0,13,63d ago
57,George Gervin,1700,$1.7K,2500,$2.5K,10,10,0,7,94d ago
58,David Robinson,1700,$1.7K,2700,$2.7K,10,7,0,9,131d ago
59,Larry Bird,1700,$1.7K,2800,$2.8K,33,28,0,9,2d ago
60,Cooper Flagg,1600,$1.6K,2200,$2.2K,50,35,0,16,79d ago
61,Tyrese Haliburton,1600,$1.6K,2200,$2.2K,14,14,0,8,137d ago
62,Dirk Nowitzki,1600,$1.6K,1900,$1.9K,10,7,0,10,116d ago
63,Anthony Edwards,1600,$1.6K,2500,$2.5K,98,68,7,8,185d ago
64,Kevin Durant,1600,$1.6K,0,$0,10,6,0,12,87d ago
65,Russell Westbrook,1600,$1.6K,2100,$2.1K,10,8,0,8,155d ago
66,LeBron James,1600,$1.6K,2500,$2.5K,295,182,13,12,24d ago
67,Magic Johnson,1600,$1.6K,2700,$2.7K,79,74,0,8,5d ago
68,Vince Carter,1600,$1.6K,5000,$5.0K,50,45,0,12,57d ago
69,Steph Curry,1600,$1.6K,1700,$1.7K,40,33,5,4,184d ago
70,Tim Duncan,1600,$1.6K,0,$0,10,9,0,15,302d ago
71,Kentavious Caldwell-Pope,1500,$1.5K,1500,$1.5K,33,28,4,5,224d ago
72,Caitlin Clark,1500,$1.5K,5000,$5.0K,17,16,0,12,171d ago
73,James Harden,1400,$1.4K,0,$0,10,8,0,11,86d ago
74,Ja Morant,1400,$1.4K,1800,$1.8K,49,35,4,8,66d ago
75,Cade Cunningham,1400,$1.4K,4900,$4.9K,61,55,0,9,today
76,Anthony Edwards,1300,$1.3K,2000,$2.0K,51,47,0,7,163d ago
77,Shai Gilgeous-Alexander,1300,$1.3K,1400,$1.4K,27,27,0,10,39d ago
78,Cooper Flagg,1300,$1.3K,0,$0,10,9,0,10,32d ago
79,Paolo Banchero,1300,$1.3K,10000,$10.0K,5,5,0,0,449d ago
80,Rui Hachimura,1300,$1.3K,1800,$1.8K,44,33,5,6,95d ago
81,Damian Lillard,1200,$1.2K,4000,$4.0K,25,22,3,7,313d ago
82,Luka Dončić,1200,$1.2K,9900,$9.9K,20,20,0,9,137d ago
83,Paige Bueckers,1200,$1.2K,1200,$1.2K,35,29,0,9,90d ago
84,Paul George,1200,$1.2K,1600,$1.6K,25,21,2,6,100d ago
85,Nikola Jokić,1200,$1.2K,1500,$1.5K,59,59,0,6,5d ago
86,Dikembe Mutombo,1200,$1.2K,1400,$1.4K,36,36,0,7,156d ago
87,Willis Reed,1100,$1.1K,1200,$1.2K,10,10,0,8,61d ago
88,Jayson Tatum,1100,$1.1K,1500,$1.5K,48,34,4,7,15d ago
89,Steph Curry,1100,$1.1K,1100,$1.1K,211,145,9,8,45d ago
90,Chris Paul,1100,$1.1K,13500,$13.5K,25,20,2,8,89d ago
91,Steph Curry,1100,$1.1K,1200,$1.2K,75,73,0,8,69d ago
92,Allen Iverson,1100,$1.1K,3200,$3.2K,27,25,0,5,521d ago
93,Jayson Tatum,1100,$1.1K,1800,$1.8K,10,9,0,0,883d ago
94,Kevin Durant,1100,$1.1K,1300,$1.3K,202,170,17,8,21d ago
95,Joel Embiid,1100,$1.1K,0,$0,10,7,0,8,119d ago
96,Cooper Flagg,1100,$1.1K,3200,$3.2K,10,8,0,10,19d ago
97,Joel Embiid,1000,$1.0K,1600,$1.6K,49,30,6,6,5d ago
98,VJ Edgecombe,1000,$1.0K,1100,$1.1K,29,19,0,8,2d ago
99,Dylan Harper,1000,$1.0K,1100,$1.1K,29,24,0,6,12d ago
100,Victor Wembanyama,1000,$1.0K,1100,$1.1K,37,35,0,7,19d ago
101,Damian Lillard,1000,$1.0K,2000,$2.0K,28,26,0,6,244d ago
102,Jerry West,1000,$1.0K,0,$0,10,10,0,11,63d ago
103,A'ja Wilson,999,$999,2000,$2.0K,14,14,0,3,239d ago
104,Victor Wembanyama,989,$989,1000,$1.0K,147,136,0,8,29d ago
105,Tyrese Haliburton,970,$970,3000,$3.0K,9,9,0,7,14d ago
106,Giannis Antetokounmpo,965,$965,965,$965,12,11,0,1,202d ago
107,LeBron James,965,$965,1200,$1.2K,45,33,0,7,16d ago
108,Kyrie Irving,955,$955,1200,$1.2K,75,60,0,7,20d ago
109,LeBron James,949,$949,949,$949,982,640,44,7,10d ago
110,Ja Morant,943,$943,987,$987,21,20,0,7,174d ago
111,Oscar Robertson,940,$940,1500,$1.5K,10,8,0,5,137d ago
112,Victor Wembanyama,925,$925,1100,$1.1K,5,5,0,6,139d ago
113,Jordan Poole,920,$920,920,$920,40,37,0,4,302d ago
114,Pete Maravich,911,$911,1100,$1.1K,10,10,0,6,91d ago
115,Derrick Rose,909,$909,1500,$1.5K,36,33,2,4,310d ago
116,A'ja Wilson,900,$900,2000,$2.0K,47,46,0,4,301d ago
117,Shai Gilgeous-Alexander,899,$899,999,$999,23,23,0,3,230d ago
118,Anthony Edwards,885,$885,995,$995,26,22,0,6,60d ago
119,James Harden,869,$869,1100,$1.1K,45,28,3,5,35d ago
120,LeBron James,855,$855,1100,$1.1K,42,42,0,6,11d ago
121,Elgin Baylor,841,$841,821,$821,10,10,0,7,57d ago
122,Victor Oladipo,840,$840,940,$940,49,34,3,2,451d ago
123,Stephon Castle,840,$840,1500,$1.5K,74,54,0,4,4d ago
124,Zion Williamson,839,$839,999,$999,49,34,10,6,25d ago
125,Steph Curry,838,$838,985,$985,26,26,0,5,21d ago
126,Jayson Tatum,835,$835,969,$969,22,21,0,5,74d ago
127,Derek Fisher,805,$805,950,$950,31,30,0,5,83d ago
128,Damian Lillard,804,$804,1300,$1.3K,49,34,7,4,73d ago
129,Breanna Stewart,800,$800,0,$0,14,14,0,2,523d ago
130,Paige Bueckers,800,$800,900,$900,46,41,0,5,64d ago
131,Paige Bueckers,800,$800,1000,$1.0K,19,17,0,5,133d ago
132,Luguentz Dort,799,$799,0,$0,21,19,0,6,8d ago
133,LeBron James,799,$799,850,$850,76,66,11,6,36d ago
134,Kon Knueppel,796,$796,955,$955,10,10,0,6,12d ago
135,Zach LaVine,775,$775,1900,$1.9K,48,33,2,3,306d ago
136,Alonzo Mourning,775,$775,0,$0,39,39,0,1,245d ago
137,Nikola Jokić,775,$775,10000,$10.0K,13,13,0,6,101d ago
138,Jalen Williams,765,$765,800,$800,16,16,0,6,71d ago
139,Luka Dončić,762,$762,969,$969,53,51,13,4,today
140,Devin Booker,750,$750,750,$750,49,33,5,6,30d ago
141,LeBron James,750,$750,5000,$5.0K,5,5,0,6,42d ago
142,Victor Wembanyama,749,$749,4300,$4.3K,39,28,0,5,19d ago
143,LeBron James,741,$741,1200,$1.2K,67,64,0,4,130d ago
144,Kyrie Irving,737,$737,999,$999,46,30,6,5,69d ago
145,Joel Embiid,734,$734,795,$795,33,31,6,5,15d ago
146,Victor Wembanyama,722,$722,985,$985,144,93,0,5,1d ago
147,John Havlicek,709,$709,2300,$2.3K,10,8,0,7,183d ago
148,Kon Knueppel,707,$707,1100,$1.1K,10,10,0,5,80d ago
149,Amen Thompson,702,$702,2500,$2.5K,74,36,0,5,90d ago
150,Luka Dončić,700,$700,700,$700,5,4,0,3,—
151,Rick Barry,700,$700,699,$699,10,10,0,5,88d ago
152,Nikola Jokić,694,$694,700,$700,50,45,0,5,67d ago
153,John Collins,690,$690,899,$899,87,53,8,5,3d ago
154,Earl Monroe,681,$681,888,$888,10,9,0,5,4d ago
155,Steph Curry,679,$679,829,$829,98,87,0,5,12d ago
156,Anthony Davis,678,$678,799,$799,49,40,5,4,41d ago
157,Giannis Antetokounmpo,668,$668,650,$650,116,110,16,5,69d ago
158,Kevin Garnett,650,$650,0,$0,42,42,0,2,245d ago
159,Tim Duncan,649,$649,999,$999,26,25,0,4,120d ago
160,RJ Barrett,645,$645,998,$998,45,37,5,4,137d ago
161,Chris Paul,644,$644,750,$750,48,32,8,5,70d ago
162,Ben Simmons,641,$641,3000,$3.0K,28,25,5,5,41d ago
163,LaMelo Ball,641,$641,685,$685,21,21,0,5,153d ago
164,Zion Williamson,638,$638,700,$700,49,39,7,5,15d ago
165,VJ Edgecombe,634,$634,888,$888,10,7,0,4,76d ago
166,Cooper Flagg,629,$629,1000,$1.0K,25,16,0,5,43d ago
167,Paolo Banchero,622,$622,785,$785,44,43,0,4,20d ago
168,Kyrie Irving,610,$610,900,$900,190,81,8,3,270d ago
169,Jimmy Butler,610,$610,800,$800,48,35,9,3,78d ago
170,Unknown Player,600,$600,0,$0,9,8,0,0,829d ago
171,Sabrina Ionescu,600,$600,799,$799,41,40,0,3,240d ago
172,Reggie Bullock,599,$599,3900,$3.9K,49,36,4,2,360d ago
173,Dylan Harper,595,$595,700,$700,10,8,0,4,13d ago
174,Nikola Jokić,594,$594,610,$610,44,38,7,4,88d ago
175,Aaron Gordon,590,$590,575,$575,48,34,6,5,157d ago
176,Christian Wood,589,$589,700,$700,77,56,7,4,34d ago
177,Jamal Murray,587,$587,700,$700,50,39,5,4,72d ago
178,Cooper Flagg,587,$587,999,$999,25,20,0,5,5d ago
179,Steph Curry,583,$583,625,$625,79,72,0,4,139d ago
180,Shai Gilgeous-Alexander,581,$581,0,$0,5,5,0,4,60d ago
181,Anthony Edwards,580,$580,695,$695,50,40,0,4,94d ago
182,Tyrese Haliburton,577,$577,699,$699,46,42,8,4,63d ago
183,Tyler Herro,575,$575,1100,$1.1K,43,37,3,2,185d ago
184,Kawhi Leonard,565,$565,599,$599,49,32,7,4,4d ago
185,Jrue Holiday,564,$564,3000,$3.0K,72,70,7,4,78d ago
186,Napheesa Collier,560,$560,3500,$3.5K,42,42,0,3,237d ago
187,Caitlin Clark,551,$551,699,$699,117,105,0,4,33d ago
188,Unknown Player,550,$550,3300,$3.3K,5,4,0,0,361d ago
189,Kevin Durant,550,$550,649,$649,21,19,0,2,383d ago
190,Alyssa Thomas,538,$538,650,$650,48,46,0,3,29d ago
191,Cade Cunningham,534,$534,675,$675,43,38,0,3,13d ago
192,Kiki Iriafen,533,$533,666,$666,10,8,0,3,138d ago
193,D'Angelo Russell,529,$529,529,$529,49,38,5,3,362d ago
194,Luka Dončić,526,$526,563,$563,294,194,17,5,today
195,Giannis Antetokounmpo,515,$515,465,$465,43,36,14,4,52d ago
196,Nique Clifford,515,$515,666,$666,5,3,0,3,25d ago
197,Nikola Jokić,511,$511,525,$525,50,43,0,4,59d ago
198,Shai Gilgeous-Alexander,510,$510,549,$549,296,206,15,4,16d ago
199,Jalen Williams,500,$500,750,$750,31,30,0,2,301d ago
200,Kevin Durant,500,$500,499,$499,80,69,0,4,4d ago
201,Bogdan Bogdanović,492,$492,698,$698,50,32,4,2,145d ago
202,LeBron James,480,$480,595,$595,268,190,18,4,33d ago
203,Anthony Davis,479,$479,479,$479,76,63,10,2,181d ago
204,Luka Dončić,477,$477,422,$422,50,44,0,4,19d ago
205,Giannis Antetokounmpo,470,$470,539,$539,58,48,9,3,41d ago
206,LeBron James,458,$458,555,$555,39,21,0,4,4d ago
207,Jaylen Brown,444,$444,545,$545,39,38,0,3,today
208,Luka Dončić,443,$443,477,$477,50,38,0,3,103d ago
209,Luka Dončić,442,$442,480,$480,83,73,7,3,89d ago
210,Nikola Jokić,442,$442,499,$499,72,60,0,3,13d ago
211,Cooper Flagg,438,$438,825,$825,25,21,0,4,33d ago
212,Luka Dončić,436,$436,444,$444,92,76,0,3,132d ago
213,Kyrie Irving,426,$426,485,$485,124,96,8,3,19d ago
214,Giannis Antetokounmpo,425,$425,450,$450,58,44,8,3,171d ago
215,LeBron James,425,$425,495,$495,91,79,14,3,13d ago
216,Luka Dončić,423,$423,478,$478,75,64,0,3,11d ago
217,Jayson Tatum,410,$410,420,$420,5,5,0,3,65d ago
218,Shai Gilgeous-Alexander,400,$400,12000,$12.0K,5,5,0,3,42d ago
219,Jaylen Brown,400,$400,499,$499,23,19,0,2,13d ago
220,Nikola Jokić,399,$399,1100,$1.1K,10,9,0,0,197d ago
221,Giannis Antetokounmpo,372,$372,489,$489,26,23,0,2,21d ago
222,Shai Gilgeous-Alexander,368,$368,445,$445,45,41,0,3,13d ago
223,Unknown Player,,—,0,$0,5,5,0,0,—
224,Unknown Player,,—,0,$0,5,5,0,0,—
225,Victor Wembanyama,,—,3000,$3.0K,5,5,0,8,—
