edition_id,subedition_id,circ,floor_usd
0055c39d-724b-444f-918f-ddff017151f5+dc0783b9-4f96-4b96-9add-b2378cf62ae3,0,684,17
00ac1ba7-32f9-4d49-8603-b7456d30695d+a9e6ca5d-9f30-40b3-a0a7-a26a0c7e2046,0,383,16
09a26cff-7b66-4bbb-b85e-da8a77c338fe+193a5375-680b-4114-ac1f-9937fa911bf0,0,192,21
12a8288a-addc-4e5c-8af7-b3ba6e5161d4+93e0f73a-69e7-4e58-ba89-7345a60f5a47,0,98,199
12a8288a-addc-4e5c-8af7-b3ba6e5161d4+de32d3fb-0e6a-447e-b42a-08bbf1607b7d,0,295,1448
12a8288a-addc-4e5c-8af7-b3ba6e5161d4+f552b506-b41d-4e7c-ac5a-59427f9e96e6,0,211,720
1435ea5e-d16f-4622-8a27-58d7f6b62c81+00decab3-9f1c-4f86-9fa2-5f2f85bfbbdc,0,147,527
1435ea5e-d16f-4622-8a27-58d7f6b62c81+1d61b42b-7e28-47a1-9ae0-d840563c8a99,0,186,69
1435ea5e-d16f-4622-8a27-58d7f6b62c81+8cc76db1-003f-41a3-bd90-7807cc54f950,0,169,25
1435ea5e-d16f-4622-8a27-58d7f6b62c81+af39fc02-277b-40c1-802f-03d03c554231,0,282,23
1f43dd29-dd9c-488d-bf8c-0d2465a3a2bc+22c5c8fc-e583-4f47-86ad-8f9e0b127104,0,73,499
208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+0c23b07f-ac0e-4e70-aa01-fe903eee63fb,0,842,0.5
208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+4b5d448f-0562-4ed9-9911-54e073e6bdbb,0,1305,1
208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+4f9b2aee-ff92-4b85-8eb7-aaee2754ac98,0,790,1
208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+e5643680-9741-45db-8fbd-fc00dc107022,0,1119,1
208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+f408d18f-8c12-47c2-8e71-590231730cac,0,899,1
20fa900d-6ccd-4956-aef5-d86d6a603937+1eff2100-969e-4c74-811d-d6efe0688490,0,75,799
20fa900d-6ccd-4956-aef5-d86d6a603937+44d75e1f-5730-45fa-8845-ca2d27459f3e,0,73,250
20fa900d-6ccd-4956-aef5-d86d6a603937+5ca477fe-ffcf-4af0-b07b-5e1a4bfb094d,0,40,920
267ff652-8c27-4ca0-91ea-e65243bd8a39+07cda102-5a6e-4052-b288-591cecdb9a66,0,10,9999
267ff652-8c27-4ca0-91ea-e65243bd8a39+16a1951f-1fb2-48e1-996d-698c0cacf524,0,10,1000
267ff652-8c27-4ca0-91ea-e65243bd8a39+357d0144-4d40-4f7f-bc54-a4bf4576b0e9,0,10,2950
267ff652-8c27-4ca0-91ea-e65243bd8a39+362b966d-7fdf-4303-bed2-f91af2c62978,0,10,1100
267ff652-8c27-4ca0-91ea-e65243bd8a39+7285b8bd-1989-4fca-9d71-652a73e1f58f,0,10,1800
267ff652-8c27-4ca0-91ea-e65243bd8a39+90d26d93-163a-4978-a071-c64eed568a71,0,10,1500
267ff652-8c27-4ca0-91ea-e65243bd8a39+9d9a74c1-295c-4a55-b0eb-b2c8143b5e87,0,10,2500
267ff652-8c27-4ca0-91ea-e65243bd8a39+cc2cfa81-7900-439d-9e16-6ab6c5b0d6d7,0,10,2200
