edition_id,player_name,tier_name,edition_name,realized_value_usd
891987bc-a5c0-404e-8486-1735a330a81a+2fcdc853-b04c-4d74-89e4-060c6fc724fe,Cooper Flagg,Common,Cooper Flagg - Dallas Mavericks - MIDRANGE - 2025-10-22 - Rookie Debut - 8,83230
29cc8656-d78a-402a-8768-8993419012d1+be85db62-029c-4445-93fd-f3e2371f9ca4,Cooper Flagg,Legendary,Cooper Flagg - Dallas Mavericks - MIDRANGE - 2026-04-04 - Rookie Revelation - 8,48240
3f9ded22-b456-47cb-a1dd-41542ff7ab43+ea07fe07-7622-464b-b822-228fcf0e374f,Cooper Flagg,Rare,Cooper Flagg - Dallas Mavericks - RIM - 2025-10-26 - Origins - 8,23729
ee8eb595-b7d1-4f2a-a71c-ce50e4c7fc3f+a3da64db-1578-46c8-a2e1-827937c0843a,Cooper Flagg,Rare,Cooper Flagg - Dallas Mavericks - RIM - 2025-12-16 - Freshman Gems - 8,23005
a61f2313-932a-491d-a48d-99e5e5a5d6bb+36d8f2e6-d8be-4047-9623-7a21987ff382,Cooper Flagg,Rare,Cooper Flagg - Dallas Mavericks - RIM - 2025-11-30 - Metallic Gold LE - 8,20350
891987bc-a5c0-404e-8486-1735a330a81a+0da105c4-fe24-4994-b79b-5984ccb2d393,Dylan Harper,Common,Dylan Harper - San Antonio Spurs - RIM - 2025-10-23 - Rookie Debut - 8,48000
97eade76-c258-4a98-8a34-9adcb4f96b7a+16635099-5a52-4050-b2c5-526ddc05bddb,Dylan Harper,Rare,Dylan Harper - San Antonio Spurs - RIM - 2026-04-25 - 2026 Playoff Premieres - 8,13770
7b797690-5b53-45a7-b972-bd2d5152654a+de32d3fb-0e6a-447e-b42a-08bbf1607b7d,LeBron James,Common,LeBron James - Los Angeles Lakers - DUNKLAYUP - 2019-11-16 - Base Set - Series 1,284925
814c5183-596f-41d7-9135-c6b29faa9c6d+de32d3fb-0e6a-447e-b42a-08bbf1607b7d,LeBron James,Legendary,LeBron James - Los Angeles Lakers - DUNKLAYUP - 2019-11-16 - Holo MMXX - Series 1,216000
12a8288a-addc-4e5c-8af7-b3ba6e5161d4+de32d3fb-0e6a-447e-b42a-08bbf1607b7d,LeBron James,Rare,LeBron James - Los Angeles Lakers - DUNKLAYUP - 2019-11-16 - Metallic Gold LE - Series 1,168000
320cae53-d585-4e74-8a66-404fa3543c19+b2fcd3d0-c8a7-4355-b12b-9c4f58b7e523,LeBron James,Legendary,LeBron James - Los Angeles Lakers - RIM - 2020-10-11 - 2020 NBA Finals - Series 1,127968
2ab08547-9f62-4ff4-aff9-1bdc0de8fa3e+48902a95-f3ee-4499-afad-5b62e106ea31,LeBron James,Rare,LeBron James - Los Angeles Lakers - RIM - 2020-10-01 - The Finals - Series 1,108900
7b797690-5b53-45a7-b972-bd2d5152654a+768166e3-f4bb-4395-9b48-4c545aebc95c,LeBron James,Common,LeBron James - Los Angeles Lakers - RIM - 2020-02-07 - Base Set - Series 1,97608
891987bc-a5c0-404e-8486-1735a330a81a+6948bdac-76f9-486e-a9fa-c8c1ec5e1108,Kon Knueppel,Common,Kon Knueppel - Charlotte Hornets - RIM - 2025-10-22 - Rookie Debut - 8,37530
29cc8656-d78a-402a-8768-8993419012d1+75e2672c-59f2-45c5-9acf-17d40e12361b,Kon Knueppel,Legendary,Kon Knueppel - Charlotte Hornets - 3_POINTER - 2026-01-30 - Rookie Revelation - 8,15664
a61f2313-932a-491d-a48d-99e5e5a5d6bb+01cb3c3a-d24c-4c42-99ec-0cc2e38ac65d,Kon Knueppel,Rare,Kon Knueppel - Charlotte Hornets - 3_POINTER - 2025-11-29 - Metallic Gold LE - 8,10560
6eb21421-c204-45ab-8512-8f52e112e39c+376413e9-4af4-4c6c-b108-e9eb1f86f92b,Paolo Banchero,Common,Paolo Banchero - Orlando Magic - HANDLES - 2023-11-04 - Base Set - Series 2023-24,23536
