rank,player,season,set_parallel,mint_count,asp_usd,est_usd
1,Steph Curry,2024-25,NBA Cup,70,274,
2,Chet Holmgren,2023-24,2023-24 Hardware,70,381,
3,Shai Gilgeous-Alexander,2024-25,Holo Icon,70,368,
4,Luka Dončić,Series 3,Holo Icon,70,436,
5,Ja Morant,2024-25,Holo Icon,70,943,
6,Luka Dončić,Series 2,Deck the Hoops,70,442,
7,Giannis Antetokounmpo,2024-25,2024-25 Hardware,70,965,
8,Derrick Rose,Series 1,Holo MMXX,70,415,
9,Evan Mobley,2024-25,2024-25 Hardware,70,675,
10,Kevin Durant,2024-25,Holo Icon,70,375,
11,Luka Dončić,2023-24,2023-24 Hardware,70,443,
12,Cade Cunningham,2023-24,Holo Icon,70,534,
13,Jabari Smith Jr.,Series 4,Rookie Revelation,70,386,
14,Steph Curry,2023-24,Holo Icon,70,838,
15,Anthony Edwards,2024-25,2025 NBA Playoffs: Legendary,70,426,
16,Nikola Jokić,2023-24,2023-24 Hardware,70,511,
17,Buddy Hield,Series 1,Cosmic,70,503,
18,Eric Gordon,Series 1,Cosmic,70,455,
19,Derek Fisher,2023-24,Run It Back: Legacies,70,805,
